date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-16,EBAY,2019-04-18,42.00,Put,4.20,7.15,0.2696,-0.9023,0.0509,-0.0040,0.0266,-0.0285
2019-02-09,AAL,2019-02-22,32.50,Put,0.09,0.12,0.3889,-0.0816,0.0551,-0.0146,0.0106,-0.0012
2019-02-16,ECL,2019-03-01,139.00,Call,22.10,26.20,0.2788,0.9987,0.0005,-0.0109,0.0013,0.0531
2019-02-09,AAL,2019-02-22,33.50,Call,2.67,2.75,0.3516,0.8631,0.0885,-0.0214,0.0154,0.0109
2019-02-16,ECL,2019-03-01,139.00,Put,0.00,1.00,0.2788,-0.0013,0.0005,-0.0013,0.0013,-0.0001
2019-02-09,AAL,2019-02-22,33.50,Put,0.18,0.22,0.3659,-0.1459,0.0887,-0.0207,0.0161,-0.0021
2019-02-16,ECL,2019-03-01,147.00,Call,14.30,18.70,0.2788,0.9768,0.0062,-0.0274,0.0176,0.0548
2019-02-16,ECL,2019-03-01,147.00,Put,0.10,1.05,0.2788,-0.0232,0.0062,-0.0172,0.0176,-0.0015
2019-02-09,AAL,2019-02-22,34.50,Call,1.87,1.94,0.3443,0.7516,0.1305,-0.0292,0.0223,0.0096
2019-02-09,AAL,2019-02-22,34.50,Put,0.35,0.39,0.3431,-0.2481,0.1315,-0.0268,0.0221,-0.0033
2019-02-16,ECL,2019-03-01,152.50,Call,8.90,12.70,0.2788,0.9064,0.0187,-0.0628,0.0535,0.0524
2019-02-09,AAL,2019-02-22,35.50,Call,1.17,1.24,0.3272,0.6047,0.1670,-0.0332,0.0271,0.0079
2019-02-16,ECL,2019-03-01,152.50,Put,0.30,0.50,0.2788,-0.0935,0.0188,-0.0524,0.0551,-0.0056
2019-02-09,AAL,2019-02-22,35.50,Put,0.64,0.70,0.3263,-0.3960,0.1688,-0.0309,0.0270,-0.0051
2019-02-16,ECL,2019-03-01,157.50,Call,4.80,7.80,0.1411,0.9189,0.0333,-0.0342,0.0481,0.0552
2019-02-09,AAL,2019-02-22,36.00,Call,0.88,0.95,0.3193,0.5187,0.1771,-0.0333,0.0281,0.0068
2019-02-09,AAL,2019-02-22,36.00,Put,0.85,0.92,0.3204,-0.4827,0.1782,-0.0312,0.0281,-0.0060
2019-02-16,ECL,2019-03-01,157.50,Put,0.75,1.05,0.2415,-0.2029,0.0367,-0.0761,0.0931,-0.0120
2019-02-16,ECL,2019-03-01,160.00,Call,3.80,5.50,0.1908,0.7325,0.0539,-0.0798,0.1053,0.0441
2019-02-09,AAL,2019-02-22,36.50,Call,0.65,0.69,0.3120,0.4289,0.1785,-0.0319,0.0277,0.0057
2019-02-16,ECL,2019-03-01,160.00,Put,1.15,1.60,0.2236,-0.2970,0.0487,-0.0857,0.1131,-0.0171
2019-02-09,AAL,2019-02-22,36.50,Put,1.12,1.18,0.3164,-0.5718,0.1779,-0.0301,0.0275,-0.0069
2019-02-16,ECL,2019-03-01,162.50,Call,2.85,3.70,0.2097,0.5755,0.0584,-0.1002,0.1254,0.0348
2019-02-09,AAL,2019-02-22,37.50,Call,0.31,0.35,0.3046,0.2616,0.1516,-0.0256,0.0229,0.0035
2019-02-16,ECL,2019-03-01,162.50,Put,1.85,2.40,0.2078,-0.4258,0.0595,-0.0891,0.1255,-0.0237
2019-02-09,AAL,2019-02-22,37.50,Put,1.79,1.84,0.3114,-0.7369,0.1517,-0.0241,0.0233,-0.0081
2019-02-16,ECL,2019-03-01,167.50,Call,0.85,1.20,0.1930,0.2748,0.0540,-0.0767,0.1068,0.0168
2019-02-09,AAL,2019-02-22,38.50,Call,0.13,0.16,0.3018,0.1378,0.1035,-0.0171,0.0155,0.0018
2019-02-09,AAL,2019-02-22,38.50,Put,2.60,2.69,0.3195,-0.8527,0.1065,-0.0170,0.0166,-0.0082
2019-02-09,AAL,2019-02-22,39.50,Call,0.05,0.09,0.3151,0.0725,0.0621,-0.0111,0.0097,0.0010
2019-02-09,AAL,2019-02-22,39.50,Put,3.50,3.65,0.3442,-0.9140,0.0697,-0.0121,0.0114,-0.0075
2019-02-16,ECL,2019-03-01,167.50,Put,3.50,5.50,0.1519,-0.7883,0.0629,-0.0440,0.0948,-0.0332
2019-02-09,AAL,2019-02-22,41.50,Call,0.00,0.04,0.3151,0.0120,0.0140,-0.0025,0.0022,0.0002
2019-02-09,AAL,2019-02-22,41.50,Put,5.45,5.60,0.3442,-0.9901,0.0215,-0.0017,0.0022,-0.0020
2019-02-16,ECL,2019-03-01,170.00,Call,0.35,0.60,0.1878,0.1541,0.0395,-0.0527,0.0760,0.0095
2019-02-09,AAL,2019-03-08,30.50,Call,5.25,6.00,0.3959,0.9435,0.0288,-0.0100,0.0113,0.0217
2019-02-16,ECL,2019-03-01,170.00,Put,5.70,7.60,0.1519,-0.9119,0.0389,-0.0222,0.0548,-0.0265
2019-02-09,AAL,2019-03-08,30.50,Put,0.05,0.33,0.4164,-0.0652,0.0306,-0.0093,0.0127,-0.0019
2019-02-16,ECL,2019-03-01,175.00,Call,0.00,0.95,0.1878,0.0353,0.0130,-0.0171,0.0249,0.0022
2019-02-09,AAL,2019-03-08,32.50,Call,3.75,4.10,0.4039,0.8384,0.0608,-0.0194,0.0244,0.0201
2019-02-16,ECL,2019-03-01,175.00,Put,9.90,14.00,0.1519,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAL,2019-03-08,32.50,Put,0.24,0.33,0.3713,-0.1433,0.0614,-0.0147,0.0236,-0.0039
2019-02-16,ECL,2019-03-01,180.00,Call,0.00,0.95,0.1878,0.0050,0.0024,-0.0032,0.0047,0.0003
2019-02-09,AAL,2019-03-08,33.50,Call,2.97,3.15,0.3718,0.7792,0.0800,-0.0214,0.0296,0.0192
2019-02-16,ECL,2019-03-01,180.00,Put,14.60,19.00,0.1519,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-16,ECL,2019-03-01,187.50,Call,0.00,2.25,0.1878,0.0001,0.0001,-0.0001,0.0001,0.0000
2019-02-09,AAL,2019-03-08,33.50,Put,0.44,0.52,0.3665,-0.2182,0.0812,-0.0188,0.0301,-0.0058
2019-02-16,ECL,2019-03-01,187.50,Put,22.10,26.50,0.1519,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,AAL,2019-03-08,34.50,Call,2.24,2.45,0.3669,0.6876,0.0968,-0.0247,0.0353,0.0172
2019-02-16,ECL,2019-03-15,140.00,Call,21.30,25.80,0.1452,1.0000,0.0000,-0.0096,0.0001,0.1070
2019-02-16,ECL,2019-03-15,140.00,Put,0.00,0.85,0.2330,-0.0068,0.0018,-0.0035,0.0086,-0.0009
2019-02-09,AAL,2019-03-08,34.50,Put,0.69,0.90,0.3710,-0.3148,0.0967,-0.0228,0.0349,-0.0083
2019-02-16,ECL,2019-03-15,145.00,Call,16.70,20.90,0.1452,0.9989,0.0006,-0.0104,0.0017,0.1107
2019-02-09,AAL,2019-03-08,35.50,Call,1.59,1.79,0.3516,0.5841,0.1113,-0.0258,0.0389,0.0148
2019-02-16,ECL,2019-03-15,145.00,Put,0.00,0.35,0.2330,-0.0273,0.0060,-0.0115,0.0284,-0.0035
2019-02-09,AAL,2019-03-08,35.50,Put,1.04,1.28,0.3604,-0.4185,0.1097,-0.0242,0.0389,-0.0108
2019-02-16,ECL,2019-03-15,150.00,Call,12.80,14.80,0.1452,0.9865,0.0053,-0.0142,0.0157,0.1129
